Species,Source,Date,Location,sample,BioSample,Estado,Região
Neisseria meningitidis,cerebrospinal fluid,2005.0,"Sao Paulo, Sao Paulo",GCA_022392865.1,SAMN11043776,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2002.0,"Sao Paulo, Sao Paulo",GCA_022392855.1,SAMN11043775,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2001.0,"Sao Paulo, Sao Paulo",GCA_022392905.1,SAMN11043774,SP,Sul
Neisseria meningitidis,oropharynx,2016.0,"Rio de Janeiro, UFRJ",GCA_022696165.1,SAMN11845750,RJ,Sudeste
Neisseria meningitidis,oropharynx,2016.0,"Rio de Janeiro, UFRJ",GCA_022696115.1,SAMN11845749,RJ,Sudeste
Neisseria meningitidis,oropharynx,2016.0,"Rio de Janeiro, UFRJ",GCA_022696195.1,SAMN11845752,RJ,Sudeste
Neisseria meningitidis,oropharynx,2016.0,"Rio de Janeiro, UFRJ",GCA_022696205.1,SAMN11845759,RJ,Sudeste
Neisseria meningitidis,cerebrospinal fluid,1990.0,"Rio de Janeiro, Bangu",GCA_030324065.1,SAMN03286962,RJ,Sudeste
Neisseria meningitidis,cerebrospinal fluid,2003.0,"Pernambuco, Recife",GCA_030324085.1,SAMN03286963,PE,Nordeste
Neisseria meningitidis,CSF,2004.0,RJ,GCA_030500645.1,SAMN28811449,RJ,Sudeste
Neisseria meningitidis,CSF,2004.0,RJ,GCA_030500635.1,SAMN28811448,RJ,Sudeste
Neisseria meningitidis,CSF,1996.0,BA,GCA_030500665.1,SAMN28811447,BA,Nordeste
Neisseria meningitidis,CSF,1996.0,BA,GCA_030503955.1,SAMN28811445,BA,Nordeste
Neisseria meningitidis,CSF,1996.0,BA,GCA_030500695.1,SAMN28811446,BA,Nordeste
Neisseria meningitidis,,1997.0,Brazil,GCA_000785065.1,SAMN03020379,,
Neisseria meningitidis,,2001.0,Brazil,GCA_000800235.1,SAMN03020302,,
Mycobacterium kyorinense,sputum,2007.0,Rio de Janeiro,GCF_001439515.1,SAMN04196478,RJ,Sudeste
Burkholderia contaminans,blood,2023.0,Sao Paulo,GCA_038066835.1,SAMN40603086,SP,Sul
Burkholderia contaminans,blood,2023.0,Sao Paulo,GCA_038066855.1,SAMN40603087,SP,Sul
Burkholderia contaminans,urine,2023.0,Sao Paulo,GCA_038066795.1,SAMN40603089,SP,Sul
Burkholderia contaminans,blood,2023.0,Sao Paulo,GCA_038066775.1,SAMN40603091,SP,Sul
Burkholderia contaminans,blood,2023.0,Sao Paulo,GCA_038066895.1,SAMN40603085,SP,Sul
Burkholderia contaminans,urine,2023.0,Sao Paulo,GCA_038066815.1,SAMN40603090,SP,Sul
Burkholderia contaminans,blood,2023.0,Sao Paulo,GCA_038066875.1,SAMN40603088,SP,Sul
Burkholderia contaminans,blood,2023.0,Sao Paulo,GCA_038066915.1,SAMN40603084,SP,Sul
Burkholderia contaminans,blood,2023.0,Sao Paulo,GCA_038066995.1,SAMN40603080,SP,Sul
Burkholderia contaminans,blood,2023.0,Sao Paulo,GCA_038067015.1,SAMN40603079,SP,Sul
Burkholderia contaminans,blood,2023.0,Sao Paulo,GCA_038066955.1,SAMN40603081,SP,Sul
Kluyvera ascorbata,abdominal collection,2016.0,Porto Alegre,GCA_003789135.1,SAMN10265530,RS,Sul
Bordetella pertussis,respiratory tract,2004.0,"Belem, PA",GCA_020536205.1,SAMN05776224,PA,Norte
Bordetella pertussis,respiratory tract,2013.0,Pernambuco,GCA_020622445.1,SAMN05783037,PE,Nordeste
Bordetella pertussis,respiratory tract,2004.0,"Belem, PA",GCA_020622465.1,SAMN05782317,PA,Norte
Bordetella pertussis,respiratory tract,2008.0,Rio Grande do Sul,GCA_020622475.1,SAMN05784484,RS,Sul
Bordetella pertussis,mucus,2011.0,Rio de Janeiro,GCA_020622525.1,SAMN02940632,RJ,Sudeste
Chromobacterium violaceum,Rio Negro river,2014.0,Manaus,GCA_002735945.1,SAMN07775572,AM,Norte
Chromobacterium violaceum,Rio Negro river,2014.0,Manaus,GCA_002735965.1,SAMN07788183,AM,Norte
Raoultella ornithinolytica,blood,2022.0,Sao Paulo,GCA_031630275.1,SAMN30951049,SP,Sul
Salmonella enterica,,1980.0,,GCF_000983195.1,SAMEA2639573,,
Citrobacter koseri,bronchoalveolar lavage,2016.0,Brazil,GCA_029083905.1,SAMN31066043,,
Citrobacter freundii,,2003.0,Brazil,GCA_026526975.2,SAMN31929640,,
Citrobacter freundii,Other clinical sources,2022.0,Sao Paulo,GCA_031630695.1,SAMN30951024,SP,Sul
Citrobacter freundii,urine,2017.0,Sao Paulo,GCA_031630735.1,SAMN30951023,SP,Sul
Citrobacter freundii,blood,2024.0,Sao Paulo,GCA_041901385.1,SAMN43428187,SP,Sul
Citrobacter freundii,rectal swab,2015.0,Sao Paulo,GCA_013085885.1,SAMN13978991,SP,Sul
Citrobacter freundii,Pleral fluid,2016.0,Recife,GCA_014926275.1,SAMN13908065,PE,Nordeste
Enterococcus faecium,vascular catheter tip,1998.0,Brazil,GCA_000172875.1,SAMN02471504,,
Klebsiella aerogenes,Infective secretion,2019.0,Sao Paulo,GCA_026223795.1,SAMN30807023,SP,Sul
Klebsiella aerogenes,,2017.0,Roraima,GCA_031150025.1,SAMN36786032,RR,Norte
Klebsiella aerogenes,Tracheal secretion,2017.0,Roraima,GCA_031150045.1,SAMN36786031,RR,Norte
Klebsiella aerogenes,Subclavian vein catheter tip,2017.0,Roraima,GCA_031150075.1,SAMN36786030,RR,Norte
Klebsiella aerogenes,sputum,2022.0,Rio de Janeiro,GCA_031150065.1,SAMN36786033,RJ,Sudeste
Klebsiella aerogenes,,2012.0,Brazil,GCF_001472725.1,SAMN04252930,,
Klebsiella aerogenes,,2012.0,Brazil,GCF_001472755.1,SAMN04252931,,
Klebsiella aerogenes,urine,2019.0,Brazil,GCA_036281845.1,SAMN38600911,,
Klebsiella aerogenes,rectal swab,2011.0,Brazil,GCF_001649605.1,SAMN05068064,,
Klebsiella aerogenes,bronchoalveolar lavage fluid,2006.0,Brazil,GCF_001662695.1,SAMN04550333,,
Klebsiella aerogenes,catheter from patient in intensive care unit,2007.0,Hospital de Clinicas of Universidade Federal do Parana,GCF_001662705.1,SAMN04496843,PR,Sul
Klebsiella aerogenes,Urine,2012.0,Brazil,GCF_001662715.1,SAMN04550335,,
Klebsiella aerogenes,Blood,2007.0,Curitiba,GCF_001662765.1,SAMN04445568,PR,Sul
Klebsiella aerogenes,tracheal aspirate,2019.0,Tocantis,GCA_043565255.1,SAMN44283669,,
Klebsiella aerogenes,swab,2016.0,Sao Paulo,GCA_006517605.1,SAMN09272524,SP,Sul
Enterobacter hormaechei,urine,2013.0,Sao Jose do Rio Preto,GCA_002154845.1,SAMN06279419,SP,Sul
Enterobacter hormaechei,urine,2013.0,Sao Jose do Rio Preto,GCA_002154865.1,SAMN06279418,SP,Sul
Enterobacter hormaechei,urine,2013.0,Sao Jose do Rio Preto,GCA_002154935.1,SAMN06279417,SP,Sul
Enterobacter cloacae,urine,2018.0,Sao Jose do Rio Preto,GCA_024655305.1,SAMN29439645,SP,Sul
Bacillus safensis,Mangrove soil,2014.0,Paranagua,GCA_002077215.1,SAMN06030516,PA,Norte
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022694025.1,SAMN21382858,SP,Sul
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022694035.1,SAMN21381419,SP,Sul
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022694085.1,SAMN21383387,SP,Sul
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022694045.1,SAMN21382254,SP,Sul
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022694095.1,SAMN21383360,SP,Sul
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022694125.1,SAMN21383416,SP,Sul
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022694165.1,SAMN21383417,SP,Sul
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022694145.1,SAMN21383679,SP,Sul
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022694245.1,SAMN21383595,SP,Sul
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022694415.1,SAMN23404508,SP,Sul
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022694385.1,SAMN23402391,SP,Sul
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022694405.1,SAMN23404404,SP,Sul
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022694225.1,SAMN23383000,SP,Sul
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022694205.1,SAMN21383753,SP,Sul
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022694175.1,SAMN21383708,SP,Sul
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022694335.1,SAMN23383875,SP,Sul
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022694365.1,SAMN23383043,SP,Sul
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022694265.1,SAMN23383013,SP,Sul
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022694305.1,SAMN23383039,SP,Sul
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022694325.1,SAMN23383053,SP,Sul
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022758365.1,SAMN23404509,SP,Sul
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022758395.1,SAMN26234274,SP,Sul
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022758385.1,SAMN23405798,SP,Sul
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022758445.1,SAMN26232720,SP,Sul
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022758425.1,SAMN26232718,SP,Sul
Escherichia coli,rectal swab,2020.0,Sao Paulo,GCA_022758485.1,SAMN26232721,SP,Sul
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022758465.1,SAMN26232715,SP,Sul
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022758505.1,SAMN23385281,SP,Sul
Escherichia coli,rectal swab,2020.0,Sao Paulo,GCA_022758525.1,SAMN22580313,SP,Sul
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022758545.1,SAMN23385328,SP,Sul
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022758565.1,SAMN23404403,SP,Sul
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022758585.1,SAMN23404511,SP,Sul
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022758595.1,SAMN23404510,SP,Sul
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022758625.1,SAMN26232767,SP,Sul
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022758645.1,SAMN26233599,SP,Sul
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022758665.1,SAMN26233567,SP,Sul
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022758685.1,SAMN22645453,SP,Sul
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022758725.1,SAMN22645457,SP,Sul
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022758705.1,SAMN22650189,SP,Sul
Escherichia coli,rectal swab,2019.0,Sao Paulo,GCA_022758745.1,SAMN23429728,SP,Sul
Escherichia coli,urine,2019.0,Sao Paulo,GCA_022758785.1,SAMN23390744,SP,Sul
Escherichia coli,rectal swab,2020.0,Sao Paulo,GCA_022758765.1,SAMN22580315,SP,Sul
Escherichia coli,urine,2019.0,Sao Paulo,GCA_022758805.1,SAMN23384002,SP,Sul
Escherichia coli,rectal swab,2020.0,Sao Paulo,GCA_022758815.1,SAMN22580334,SP,Sul
Escherichia coli,urine,2019.0,Sao Paulo,GCA_022758845.1,SAMN22656218,SP,Sul
Escherichia coli,urine,2019.0,Sao Paulo,GCA_022758865.1,SAMN26232719,SP,Sul
Escherichia coli,urine,2020.0,Sao Paulo,GCA_022758895.1,SAMN22581297,SP,Sul
Escherichia coli,blood,2019.0,Brazil,GCA_023060635.1,SAMN27549406,,
Escherichia coli,blood,2019.0,Brazil,GCA_023061055.1,SAMN27549424,,
Escherichia coli,blood,2019.0,Brazil,GCA_023572705.1,SAMN27549386,,
Escherichia coli,blood,2019.0,Brazil,GCA_023572785.1,SAMN27549387,,
Escherichia coli,urine,2017.0,Londrina,GCA_023614365.2,SAMN14529286,PR,Sul
Escherichia coli,blood,2000.0,Sao Paulo,GCA_024199065.1,SAMN29492624,SP,Sul
Escherichia coli,urine,2017.0,Brazil,GCA_024385685.1,SAMN23168973,,
Escherichia coli,gallbladder,2016.0,Brazil,GCA_024386135.1,SAMN23168949,,
Escherichia coli,wound,2016.0,Brazil,GCA_024386165.1,SAMN23168948,,
Escherichia coli,urine,2016.0,Brazil,GCA_024388485.1,SAMN23168831,,
Escherichia coli,urine,2015.0,Brazil,GCA_024389435.1,SAMN23168782,,
Escherichia coli,adult,1979.0,Brazil,GCA_024584885.1,SAMN04917421,,
Escherichia coli,adult,1979.0,Brazil,GCA_024584945.1,SAMN04917418,,
Escherichia coli,,2005.0,Brazil,GCA_025698005.1,SAMN15534103,,
Escherichia coli,urine,2015.0,South,GCF_001693555.1,SAMN05382650,,
Escherichia coli,feces,1998.0,Brazil,GCA_002459605.1,SAMN05607347,,
Escherichia coli,urine,1974.0,Belo Horizonte,GCA_002859105.1,SAMN08117235,MG,Sudeste
Escherichia coli,urine,2015.0,Brazil,GCF_001700405.1,SAMN05005170,,
Escherichia coli,stool,1989.0,Sao Paulo,GCA_028864005.1,SAMN33327118,SP,Sul
Escherichia coli,stool,1989.0,Sao Paulo,GCA_028864025.1,SAMN33327119,SP,Sul
Escherichia coli,stool,1989.0,Sao Paulo,GCA_028864085.1,SAMN33327117,SP,Sul
Escherichia coli,Blood culture,2003.0,Sao Paulo,GCA_029589455.1,SAMN27566601,SP,Sul
Escherichia coli,blood,2005.0,Sao Paulo,GCA_030466455.1,SAMN14486023,SP,Sul
Escherichia coli,stool,1989.0,Sao Paulo,GCA_031460355.1,SAMN36780916,SP,Sul
Escherichia coli,Surveillance swab,2021.0,Sao Paulo,GCA_031630435.1,SAMN30951039,SP,Sul
Escherichia coli,Surveillance swab,2019.0,Belo Horizonte,GCA_031630395.1,SAMN30951035,MG,Sudeste
Escherichia coli,Other clinical sources,2021.0,Sao Paulo,GCA_031630415.1,SAMN30951038,SP,Sul
Escherichia coli,urine,2019.0,Limeira,GCA_031630455.1,SAMN30951036,SP,Sul
Escherichia coli,Surveillance swab,2020.0,Sao Paulo,GCA_031630475.1,SAMN30951037,SP,Sul
Escherichia coli,Tracheal secretion,2019.0,Palmas,GCA_031630495.1,SAMN30951034,TO,Norte
Escherichia coli,Surveillance swab,2017.0,Sao Paulo,GCA_031630515.1,SAMN30951033,SP,Sul
Escherichia coli,blood,2016.0,Recife,GCF_001899625.1,SAMN06051286,PE,Nordeste
Escherichia coli,blood,2016.0,"Sao Paulo, SP",GCF_001907935.1,SAMN06043562,SP,Sul
Escherichia coli,stool,2001.0,Sao Paulo,GCA_036927655.1,SAMN31136801,SP,Sul
Escherichia coli,Rectal swabs,2016.0,RS,GCA_036890245.1,SAMN18079465,RS,Sul
Escherichia coli,Ascites fluid,2018.0,RS,GCA_036890225.1,SAMN18079466,RS,Sul
Escherichia coli,stool,1990.0,Sao Paulo,GCA_036927615.1,SAMN31136766,SP,Sul
Escherichia coli,stool,1989.0,Sao Paulo,GCA_036927645.1,SAMN31136716,SP,Sul
Escherichia coli,stool,1990.0,Sao Paulo,GCA_036927635.1,SAMN31136699,SP,Sul
Escherichia coli,stool,2001.0,Sao Paulo,GCA_036927775.1,SAMN31136870,SP,Sul
Escherichia coli,stool,1989.0,Sao Paulo,GCA_036925215.1,SAMN31136242,SP,Sul
Escherichia coli,stool,1989.0,Sao Paulo,GCA_036925195.1,SAMN31136269,SP,Sul
Escherichia coli,stool,1989.0,Sao Paulo,GCA_036927625.1,SAMN31136557,SP,Sul
Escherichia coli,Urine Sample,2014.0,Pernambuco,GCA_037450415.1,SAMN33101484,PE,Nordeste
Escherichia coli,Rectal swab,2011.0,Brazil,GCA_037890765.1,SAMN40603239,,
Escherichia coli,Rectal swab,2015.0,Brazil,GCA_037890795.1,SAMN40603238,,
Escherichia coli,foot secretion,2016.0,Natal,GCF_001660545.1,SAMN05172242,RN,Nordeste
Escherichia coli,Rectal swab,2013.0,Amazon,GCF_001982585.1,SAMN06244220,AM,Norte
Escherichia coli,rectal swab,2014.0,Porto Alegre,GCF_002006525.1,SAMN06233851,RS,Sul
Escherichia coli,,2011.0,Rio de Janeiro,GCF_002012005.1,SAMN05511179,RJ,Sudeste
Escherichia coli,feces,2020.0,Brazil,GCA_040149085.1,SAMN41693493,,
Escherichia coli,feces,2019.0,Brazil,GCA_040148955.1,SAMN41693492,,
Escherichia coli,feces,2019.0,Brazil,GCA_040148975.1,SAMN41693491,,
Escherichia coli,feces,2020.0,Brazil,GCA_040149135.1,SAMN41693495,,
Escherichia coli,feces,2019.0,Brazil,GCA_040149285.1,SAMN41693497,,
Escherichia coli,feces,2019.0,Brazil,GCA_040149225.1,SAMN41693494,,
Escherichia coli,feces,2019.0,Brazil,GCA_040149235.1,SAMN41693496,,
Escherichia coli,stool,1989.0,Sao Paulo,GCA_041890375.1,SAMN43515108,SP,Sul
Escherichia coli,stool,1989.0,Sao Paulo,GCA_041890435.1,SAMN30438959,SP,Sul
Escherichia coli,stool,1989.0,Sao Paulo,GCA_041890445.1,SAMN30438917,SP,Sul
Escherichia coli,stool,1989.0,Sao Paulo,GCA_041890475.1,SAMN30439284,SP,Sul
Escherichia coli,Rectal swab,2020.0,Sao Paulo,GCA_043848675.1,SAMN40982411,SP,Sul
Escherichia coli,Rectal swab,2020.0,Sao Paulo,GCA_043848695.1,SAMN40982404,SP,Sul
Escherichia coli,Rectal swab,2021.0,Sao Paulo,GCA_043848715.1,SAMN40982417,SP,Sul
Escherichia coli,rectal swab,2016.0,Sao Paulo,GCA_002133385.1,SAMN06763639,SP,Sul
Escherichia coli,feces,1983.0,Brazil,GCA_002461645.1,SAMN05591683,,
Escherichia coli,feces,1990.0,Brazil,GCA_002467725.1,SAMN04992411,,
Escherichia coli,feces,1990.0,Brazil,GCA_002468985.1,SAMN04992413,,
Escherichia coli,feces,1990.0,Brazil,GCA_002469015.1,SAMN04992412,,
Escherichia coli,duodenum,1990.0,Brazil,GCA_002469045.1,SAMN04992405,,
Escherichia coli,blood,1991.0,Brazil,GCA_002484595.1,SAMN04992498,,
Escherichia coli,stools,2017.0,Praia Grande,GCA_002490265.1,SAMN07731446,SP,Sul
Escherichia coli,urine,2014.0,Minas Gerais,GCA_002736085.1,SAMN07746131,MG,Sudeste
Escherichia coli,urine,1974.0,Belo Horizonte,GCA_002763515.1,SAMN07210972,MG,Sudeste
Escherichia coli,urine,1974.0,Belo Horizonte,GCA_002887715.1,SAMN08118424,MG,Sudeste
Escherichia coli,urine,1974.0,Belo Horizonte,GCA_002900305.1,SAMN08272629,MG,Sudeste
Escherichia coli,urine,2016.0,Campinas,GCA_003173295.1,SAMN09223806,SP,Sul
Escherichia coli,urine,2017.0,Campinas,GCA_003173315.1,SAMN09223805,SP,Sul
Escherichia coli,blood,2017.0,Campinas,GCA_003183865.1,SAMN09225637,SP,Sul
Escherichia coli,urine,2017.0,Campinas,GCA_003183875.1,SAMN09225594,SP,Sul
Escherichia coli,urine,2016.0,Campinas,GCA_003183885.1,SAMN09225630,SP,Sul
Escherichia coli,stool,2003.0,Bhaia,GCA_003651265.1,SAMN10060931,BA,Nordeste
Escherichia coli,stool,2003.0,Bhaia,GCA_003651275.1,SAMN10060930,BA,Nordeste
Escherichia coli,stool,1989.0,Sao Paulo,GCA_003651325.1,SAMN10060928,SP,Sul
Escherichia coli,stool,1989.0,Sao Paulo,GCA_003651345.1,SAMN10060927,SP,Sul
Escherichia coli,stool,1989.0,Sao Paulo,GCA_003651285.1,SAMN10060929,SP,Sul
Escherichia coli,stool,1989.0,Sao Paulo,GCA_003651375.1,SAMN10060925,SP,Sul
Escherichia coli,stool,1989.0,Sao Paulo,GCA_003651355.1,SAMN10060926,SP,Sul
Escherichia coli,stool,1985.0,Sao Paulo,GCA_003651405.1,SAMN10060923,SP,Sul
Escherichia coli,stool,1989.0,Sao Paulo,GCA_003651415.1,SAMN10060922,SP,Sul
Escherichia coli,stool,1989.0,Sao Paulo,GCA_003651425.1,SAMN10060924,SP,Sul
Escherichia coli,urine,2015.0,"Botucatu, Sao Paulo State",GCA_004116835.1,SAMN10621277,SP,Sul
Escherichia coli,urine,2015.0,"Botucatu, Sao Paulo State",GCA_004116595.1,SAMN10748446,SP,Sul
Escherichia coli,urine,2015.0,"Botucatu, Sao Paulo State",GCA_004116695.1,SAMN10748581,SP,Sul
Escherichia coli,urine,2015.0,"Botucatu, Sao Paulo State",GCA_004116795.1,SAMN10748585,SP,Sul
Escherichia coli,urine,2015.0,"Botucatu, Sao Paulo State",GCA_004116815.1,SAMN10748588,SP,Sul
Escherichia coli,urine,2015.0,"Botucatu, Sao Paulo State",GCA_004116855.1,SAMN10748593,SP,Sul
Escherichia coli,urine,2015.0,"Botucatu, Sao Paulo State",GCA_004116875.1,SAMN10748596,SP,Sul
Escherichia coli,urine,2015.0,"Botucatu, Sao Paulo State",GCA_004116895.1,SAMN10748603,SP,Sul
Escherichia coli,urine,2015.0,"Botucatu, Sao Paulo State",GCA_004116915.1,SAMN10748605,SP,Sul
Escherichia coli,urine,2015.0,"Botucatu, Sao Paulo State",GCA_004116935.1,SAMN10748607,SP,Sul
Escherichia coli,urine,2015.0,"Botucatu, Sao Paulo State",GCA_004118895.1,SAMN10748606,SP,Sul
Escherichia coli,Feces,2003.0,Brazil,GCA_004211775.1,SAMN10921570,,
Escherichia coli,urine,2016.0,Sao Paulo,GCA_006517505.1,SAMN09272525,SP,Sul
Escherichia coli,urine,1999.0,Sao Paulo,GCA_007858995.1,SAMN12082776,SP,Sul
Escherichia coli,stool,2019.0,"Sao Paulo, Sao Paulo",GCA_008180225.1,SAMN12635141,SP,Sul
Escherichia coli,urine,2019.0,"Sao Paulo, Sao Paulo",GCA_008180245.1,SAMN12635223,SP,Sul
Escherichia coli,catheter,2019.0,"Porto Alegre, RS",GCA_009799765.1,SAMN13615953,RS,Sul
Escherichia coli,rectal epithelium,2015.0,"Florianopolis, Santa Catarina",GCA_009901805.1,SAMN11954205,SC,Sul
Escherichia coli,urinary tract,2016.0,"Florianopolis, Santa Catarina",GCA_009932305.1,SAMN11954204,SC,Sul
Escherichia coli,blood,2017.0,Joao Pessoa,GCA_011290775.4,SAMN14330197,PB,Nordeste
Escherichia coli,feces,2016.0,Sao Paulo,GCA_011812785.1,SAMN13700083,SP,Sul
Escherichia coli,fistula fluid,2013.0,Sao Paulo,GCA_011812765.1,SAMN13700082,SP,Sul
Escherichia coli,secretion,2016.0,Sao Paulo,GCA_011812805.1,SAMN13700086,SP,Sul
Escherichia coli,feces,2016.0,Sao Paulo,GCA_011812795.1,SAMN13700084,SP,Sul
Escherichia coli,urine,2017.0,Sao Paulo,GCA_011812865.1,SAMN09272526,SP,Sul
Escherichia coli,urine,2017.0,Sao Paulo,GCA_011812905.1,SAMN09272528,SP,Sul
Escherichia coli,urine,2018.0,Sao Paulo,GCA_011812915.1,SAMN09272529,SP,Sul
Escherichia coli,urine,2017.0,Sao Paulo,GCA_012726245.1,SAMN09272527,SP,Sul
Escherichia coli,Blood culture,2007.0,Sao Paulo,GCA_013293985.1,SAMN12788841,SP,Sul
Escherichia coli,phylogroupF,1999.0,Brazil,GCA_903932265.1,SAMEA6968684,,
Escherichia coli,feces,2013.0,Amazonas,GCA_014145355.1,SAMN15181529,AM,Norte
Escherichia coli,feces,2013.0,Amazonas,GCA_014145345.1,SAMN15181894,AM,Norte
Escherichia coli,urine,2016.0,Recife,GCA_014894765.1,SAMN13901244,PE,Nordeste
Escherichia coli,urine,2016.0,Recife,GCA_014926265.1,SAMN14603646,PE,Nordeste
Escherichia coli,blood,2008.0,Sao Paulo,GCA_015374485.1,SAMN14486081,SP,Sul
Escherichia coli,urine,2017.0,Sao Paulo,GCA_016760355.1,SAMN12313847,SP,Sul
Escherichia coli,peritoneal fluid,2016.0,Sao Paulo,GCA_016760395.1,SAMN12313846,SP,Sul
Escherichia coli,blood culture,2017.0,Sao Paulo,GCA_016760375.1,SAMN12313848,SP,Sul
Escherichia coli,urine,2016.0,Sao Paulo,GCA_016760405.1,SAMN12313844,SP,Sul
Escherichia coli,urine,2016.0,Sao Paulo,GCA_016760415.1,SAMN12313845,SP,Sul
Escherichia coli,soft tissue,2016.0,Sao Paulo,GCA_016760455.1,SAMN12313843,SP,Sul
Escherichia coli,bone,2016.0,Sao Paulo,GCA_016760465.1,SAMN12313842,SP,Sul
Escherichia coli,stool,2003.0,Bahia,GCA_016786245.1,SAMN16818244,BA,Nordeste
Escherichia coli,blood,2008.0,Sao Paulo,GCA_017052575.1,SAMN17882780,SP,Sul
Escherichia coli,rectal swab,2020.0,Brazil,GCA_017353385.1,SAMN18221695,,
Escherichia coli,Stool specimen,2017.0,Rio de Janeiro,GCA_018361365.1,SAMN18630606,RJ,Sudeste
Escherichia coli,urine,1999.0,Sao Paulo,GCA_018390445.1,SAMN19068351,SP,Sul
Escherichia coli,urine,2014.0,Uberlandia,GCA_019201615.1,SAMN14464886,,
Escherichia coli,urine,2014.0,Uberlandia,GCA_019201665.1,SAMN14464884,,
Escherichia coli,Pelvic secretion,2019.0,Florianopolis,GCA_019201685.1,SAMN14486348,SC,Sul
Escherichia coli,urine,2017.0,Londrina,GCA_019201765.1,SAMN14529289,PR,Sul
Escherichia coli,Rectal swab,2016.0,Florianopolis,GCA_019201705.1,SAMN14486343,SC,Sul
Escherichia coli,Prosthesis,2017.0,Londrina,GCA_019201785.1,SAMN14529287,PR,Sul
Escherichia coli,urine,2014.0,Uberlandia,GCA_019201835.1,SAMN14464890,,
Escherichia coli,urine,2014.0,Uberlandia,GCA_019201715.1,SAMN14464881,,
Escherichia coli,urine,2014.0,Uberlandia,GCA_019201865.1,SAMN14464889,,
Escherichia coli,Tracheal Secretion,2014.0,Uberlandia,GCA_019201915.1,SAMN14464887,,
Escherichia coli,urine,2014.0,Uberlandia,GCA_019201975.1,SAMN14464883,,
Escherichia coli,Bone fragment,2014.0,Uberlandia,GCA_019201955.1,SAMN14464885,,
Escherichia coli,urine,2014.0,Uberlandia,GCA_019201935.1,SAMN14464888,,
Escherichia coli,urine,2018.0,Belem,GCA_019202185.1,SAMN14479272,PA,Norte
Escherichia coli,urine,2017.0,Recife,GCA_019202175.1,SAMN14479284,PE,Nordeste
Escherichia coli,urine,2014.0,Uberlandia,GCA_019201995.1,SAMN14464882,,
Escherichia coli,blood,2017.0,Joao Pessoa,GCA_019202045.1,SAMN14479267,PB,Nordeste
Escherichia coli,blood,2018.0,Joao Pessoa,GCA_019202015.1,SAMN14479269,PB,Nordeste
Escherichia coli,blood,2018.0,Joao Pessoa,GCA_019202035.1,SAMN14479268,PB,Nordeste
Escherichia coli,blood,2017.0,Joao Pessoa,GCA_019202075.1,SAMN14479266,PB,Nordeste
Escherichia coli,urine,2019.0,Belem,GCA_019202135.1,SAMN14479274,PA,Norte
Escherichia coli,urine,2018.0,Belem,GCA_019202145.1,SAMN14479273,PA,Norte
