Species,Source,Date,Location,sample,BioSample,Estado,Região
Proteus mirabilis,tracheal secretion,2015.0,Londrina,GCA_003171695.1,SAMN09222159,PR,Sul
Proteus vulgaris,Surveillance swab,2018.0,Sao Paulo,GCA_031630355.1,SAMN30951044,SP,Sul
Providencia rettgeri,Surgical wound,2014.0,Brazil,GCA_000805715.1,SAMN03135814,,
Providencia rettgeri,Other clinical sources,2016.0,Sao Paulo,GCA_031921665.1,SAMN30951045,SP,Sul
Pseudomonas chlororaphis,blood,2019.0,Brazil,GCA_020444615.1,SAMN19838532,,
Providencia stuartii,swab,2016.0,Sao Paulo,GCA_006517525.1,SAMN09272521,SP,Sul
Providencia stuartii,not available,2018.0,Brazil,GCA_023060545.1,SAMN27549398,,
Providencia stuartii,Surveillance swab,2019.0,Sao Paulo,GCA_031921625.1,SAMN30951047,SP,Sul
Providencia stuartii,Surveillance swab,2019.0,Belo Horizonte,GCA_031921605.1,SAMN30951048,MG,Sudeste
Providencia stuartii,Catheter tip,2016.0,Recife,GCA_031921645.1,SAMN30951046,PE,Nordeste
Salmonella enterica,urine,2012.0,"Sao Paulo, Sao Paulo",GCA_011366385.1,SAMN12625492,SP,Sul
Salmonella enterica,stool,2013.0,"Sao Paulo, Sao Paulo",GCA_011368445.1,SAMN11283419,SP,Sul
Salmonella enterica,stool,2016.0,"Sao Paulo, Taubate",GCA_011368485.1,SAMN11283422,SP,Sul
Salmonella enterica,stool,2015.0,"Sao Paulo, Sao Paulo",GCA_011368605.1,SAMN11283934,SP,Sul
Salmonella enterica,stool,2013.0,"Sao Paulo, Sao Paulo",GCA_011368645.1,SAMN11490559,SP,Sul
